NAME,TEAM,POS,GP,MPG,FT,TWO_P,THREE_P,eFG,PPG,RPG,APG,SPG,BPG,TPG
Scoot Henderson,Por,G,62,28.5,0.819,0.416,0.325,0.44,14,3.1,5.4,0.8,0.2,3.4
Amen Thompson,Hou,G-F,62,22.4,0.684,0.595,0.138,0.545,9.5,6.6,2.6,1.3,0.6,1.5
Kris Murray,Por,F,62,21.7,0.661,0.525,0.268,0.463,6.1,3.6,1.3,0.9,0.3,0.9
Goga Bitadze,Orl,C-F,62,15.4,0.655,0.636,0.143,0.608,5,4.6,1.3,0.5,1.2,0.7
Jalen Duren,Det,C,61,29.1,0.79,0.623,0,0.619,13.8,11.6,2.4,0.5,0.8,2.1
Santi Aldama,Mem,F-C,61,26.5,0.621,0.534,0.349,0.528,10.7,5.8,2.3,0.7,0.9,1.1
Jalen Smith,Ind,F-C,61,17.2,0.692,0.689,0.424,0.67,9.9,5.5,1,0.3,0.6,0.7
Sam Merrill,Cle,G,61,17.5,0.929,0.385,0.404,0.584,8,2,1.8,0.3,0.1,0.3
Day'Ron Sharpe,Bro,C,61,15.1,0.61,0.588,0.267,0.578,6.8,6.4,1.4,0.4,0.7,1.1
Dyson Daniels,Nor,G,61,22.3,0.642,0.551,0.311,0.514,5.8,3.9,2.7,1.4,0.4,1
Larry Nance Jr.,Nor,F-C,61,19.9,0.77,0.631,0.415,0.629,5.7,5,1.9,1,0.3,0.8
Blake Wesley,San,G,61,14.4,0.667,0.563,0.218,0.502,4.4,1.5,2.7,0.5,0.1,0.9
Jimmy Butler,Mia,F,60,34,0.858,0.519,0.414,0.537,20.8,5.3,5,1.3,0.3,1.7
Scottie Barnes,Tor,F-G,60,34.9,0.781,0.536,0.341,0.528,19.9,8.2,6.1,1.3,1.5,2.8
Gradey Dick,Tor,G,60,21.1,0.863,0.495,0.365,0.524,8.5,2.2,1.1,0.6,0,0.8
Isaiah Jackson,Ind,F,60,12.8,0.716,0.677,0,0.665,6.4,4,0.8,0.6,1,0.7
Josh Okogie,Pho,F,60,16,0.745,0.509,0.309,0.488,4.6,2.6,1.1,0.8,0.4,0.6
Jamal Murray,Den,G,59,31.5,0.853,0.51,0.425,0.554,21.2,4.1,6.5,1,0.7,2.1
